Rack Travel (mm),Toe Angle RHS (°),Toe Angle LHS (°),Camber Angle RHS (°),Camber Angle LHS (°),ACKERMANN,TURNING CIRCLE RADIUS 
12.13,-7.95,8.46,0.98,-0.8,55.9,10762.23
13.14,-8.6,9.2,1.07,-0.86,56,9912.64
14.16,-9.24,9.94,1.16,-0.92,56.12,9182.71
15.17,-9.89,10.7,1.25,-0.98,56.24,8548.5
16.18,-10.53,11.46,1.35,-1.03,56.38,7992.03
17.19,-11.17,12.23,1.45,-1.09,56.52,7499.57
18.2,-11.81,13.01,1.55,-1.14,56.68,7060.41
19.21,-12.45,13.79,1.65,-1.19,56.86,6666.12
20.22,-13.09,14.59,1.75,-1.24,57.05,6309.95
21.23,-13.73,15.39,1.85,-1.29,57.25,5986.42
22.25,-14.37,16.21,1.96,-1.34,57.47,5691.05
23.26,-15.01,17.04,2.07,-1.39,57.71,5420.13
24.27,-15.64,17.88,2.18,-1.44,57.97,5170.59
25.28,-16.28,18.73,2.29,-1.48,58.25,4939.82
26.29,-16.91,19.59,2.4,-1.52,58.55,4725.62
27.3,-17.55,20.48,2.52,-1.56,58.87,4526.11
28.31,-18.19,21.37,2.64,-1.6,59.21,4339.68
29.32,-18.82,22.29,2.76,-1.64,59.58,4164.93
30.33,-19.46,23.22,2.89,-1.68,59.98,4000.63
31.35,-20.09,24.17,3.01,-1.71,60.41,3845.74
32.36,-20.73,25.14,3.14,-1.74,60.87,3699.3
33.37,-21.36,26.14,3.27,-1.77,61.37,3560.48
34.38,-22,27.17,3.41,-1.8,61.91,3428.55
35.39,-22.63,28.22,3.55,-1.82,62.5,3302.82
36.4,-23.27,29.31,3.69,-1.84,63.13,3182.69
37.41,-23.91,30.43,3.83,-1.86,63.82,3067.6
38.42,-24.55,31.59,3.98,-1.87,64.57,2957.01
39.43,-25.19,32.8,4.13,-1.87,65.39,2850.45
40.45,-25.83,34.07,4.28,-1.87,66.29,2747.42
41.46,-26.47,35.39,4.44,-1.87,67.3,2647.44
42.47,-27.11,36.8,4.6,-1.85,68.41,2550.02
43.48,-27.75,38.29,4.76,-1.82,69.67,2454.59
44.49,-28.4,39.9,4.93,-1.77,71.11,2360.52
